timestamp,cpu_percent,memory_percent,num_processes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
2026-03-19T18:36:18.687831,1.3,34.6,64,931346432,637452288,85312494,153741141
2026-03-19T18:36:23.692049,1.1,34.6,64,931346432,637558784,85316083,153744730
2026-03-19T18:36:28.696857,1.2,34.6,64,931346432,637579264,85319672,153748319
2026-03-19T18:36:32.700919,1.2,34.6,64,931346432,637632512,85323232,153751879
2026-03-19T18:36:37.706212,1.0,34.6,64,931346432,637665280,85327588,153756235
2026-03-19T18:36:42.711781,0.9,34.5,64,931346432,637702144,85334099,153760056
2026-03-19T18:36:47.720393,1.1,34.5,64,931346432,637726720,85340593,153763877
2026-03-19T18:36:52.725946,1.2,34.6,64,931346432,637751296,85351445,153768050
2026-03-19T18:36:57.732239,1.5,34.6,64,931346432,637775872,85363814,153780195
2026-03-19T18:37:01.712866,8.1,35.4,67,931346432,638287872,85368706,153785723
2026-03-19T18:37:06.716536,3.2,34.5,64,931346432,638443520,85374221,153791450
2026-03-19T18:37:11.722649,0.7,34.6,64,931346432,638459904,85378244,153795473
2026-03-19T18:37:16.729184,0.9,34.6,64,931346432,638476288,85381710,153798939
2026-03-19T18:37:21.733315,1.1,34.6,64,931346432,638492672,85385299,153803326
2026-03-19T18:37:26.737882,1.2,34.6,64,931346432,638509056,85388888,153806915
2026-03-19T18:37:31.745038,1.2,34.6,64,931346432,646123520,85392477,153810504
2026-03-19T18:37:35.715722,1.3,34.6,64,931346432,646180864,85399790,153815143
2026-03-19T18:37:40.719749,1.2,34.6,67,931346432,646230016,85406773,153819486
2026-03-19T18:37:45.728685,0.7,34.6,64,931346432,646246400,85413578,153823618
2026-03-19T18:37:50.733603,1.4,34.6,64,931346432,646262784,85424742,153836048
2026-03-19T18:37:55.741364,1.2,34.6,64,931346432,646356992,85428208,153839514
2026-03-19T18:38:00.745225,3.7,34.9,67,931346432,646397952,85431744,153842980
2026-03-19T18:38:04.734795,7.7,34.6,64,931346432,646774784,85438666,153849902
2026-03-19T18:38:09.740184,1.0,34.6,64,931346432,646774784,85442697,153853933
2026-03-19T18:38:14.748976,0.7,34.6,64,931346432,646791168,85446111,153857347
2026-03-19T18:38:19.756658,1.3,34.6,64,931346432,646807552,85449577,153860813
2026-03-19T18:38:24.762592,1.1,34.6,64,931346432,646823936,85453043,153864279
2026-03-19T18:38:29.767762,1.4,34.6,64,931346432,646844416,85456509,153867745
2026-03-19T18:38:34.775752,1.2,34.6,64,931346432,646926336,85460577,153871813
2026-03-19T18:38:38.697580,1.3,34.6,64,931346432,646946816,85463962,153875198
2026-03-19T18:38:43.701971,1.0,34.6,64,931346432,646975488,85470540,153879103
2026-03-19T18:38:48.706175,1.0,34.6,64,931346432,646991872,85474129,153882692
2026-03-19T18:38:53.714037,1.3,34.6,64,931346432,647008256,85484846,153894680
2026-03-19T18:38:58.720376,1.0,34.6,64,931346432,647036928,85488435,153898269
2026-03-19T18:39:03.723719,10.0,35.5,67,931346432,647159808,85494611,153905293
2026-03-19T18:39:07.692112,1.7,34.6,67,931346432,647217152,85499780,153910462
2026-03-19T18:39:12.696105,0.7,34.6,64,931346432,647368704,85503317,153913999
2026-03-19T18:39:17.700245,1.1,34.7,64,931346432,647385088,85507089,153917771
2026-03-19T18:39:22.712959,1.2,34.7,64,931346432,647401472,85511544,153922226
2026-03-19T18:39:27.718375,1.5,34.7,64,931346432,647421952,85606390,154025655
2026-03-19T18:39:32.726182,1.7,34.6,64,931346432,647438336,85622390,154043434
2026-03-19T18:39:37.731906,1.4,34.6,64,931346432,647458816,85635130,154063475
2026-03-19T18:39:41.646261,1.3,34.7,64,931346432,647520256,85639349,154067694
2026-03-19T18:39:46.653950,1.1,34.7,64,931346432,647548928,85643931,154072276
2026-03-19T18:39:51.658498,1.6,34.7,64,931346432,647565312,85654048,154088087
2026-03-19T18:39:56.662927,1.4,34.7,64,931346432,647593984,85662694,154098558
2026-03-19T18:40:01.667893,4.3,34.6,64,931346432,647610368,85667149,154103013
2026-03-19T18:40:06.673381,10.5,34.6,64,931346432,647757824,85674505,154110369
2026-03-19T18:40:10.615388,1.6,34.6,64,931346432,647901184,85678009,154113873
2026-03-19T18:40:15.619650,1.2,34.6,64,931346432,647995392,85681517,154117381
2026-03-19T18:40:20.624353,1.2,34.7,64,931346432,648015872,85684983,154120847
2026-03-19T18:40:25.628384,1.2,34.7,64,931346432,648040448,85688449,154124313
2026-03-19T18:40:30.632336,1.1,34.7,64,931346432,648073216,85695695,154133950
2026-03-19T18:40:35.640226,1.0,34.7,64,931346432,648093696,85699317,154137524
2026-03-19T18:40:39.667965,1.1,34.7,64,931346432,648110080,85702754,154140961
2026-03-19T18:40:44.678359,1.0,34.6,64,931346432,648175616,85706234,154144495
2026-03-19T18:40:49.688493,1.3,34.6,64,931346432,648224768,85709700,154147961
2026-03-19T18:40:54.695840,1.1,34.6,64,931346432,648257536,85713166,154151427
2026-03-19T18:40:59.704321,0.8,34.6,64,931346432,648273920,85717368,154155841
2026-03-19T18:41:04.709436,10.3,35.5,67,931346432,648396800,85724040,154163149
2026-03-19T18:41:09.714873,1.4,34.6,64,931346432,648454144,85727585,154166694
2026-03-19T18:41:13.705076,1.1,34.6,64,931346432,648470528,85731955,154171064
2026-03-19T18:41:18.713985,1.2,34.6,64,931346432,648503296,85735576,154174685
2026-03-19T18:41:23.719817,0.9,34.6,64,931346432,648658944,85740032,154179141
2026-03-19T18:41:28.731289,1.2,34.6,64,931346432,648687616,85743569,154182678
2026-03-19T18:41:33.740076,1.1,34.6,64,931346432,648704000,85747591,154186700
2026-03-19T18:41:38.752339,1.3,34.6,64,931346432,648724480,85752231,154191340
2026-03-19T18:41:42.758120,4.6,33.6,64,931346432,648740864,85755791,154194900
2026-03-19T18:41:47.762077,1.0,33.7,64,931346432,648769536,85759370,154198479
2026-03-19T18:41:52.778026,1.1,33.7,64,931346432,648798208,85763142,154202251
2026-03-19T18:41:57.789497,1.2,33.7,64,931346432,648839168,85767362,154206471
2026-03-19T18:42:02.798623,5.8,34.4,67,931346432,648859648,85771817,154210926
2026-03-19T18:42:07.807004,6.1,33.7,64,931346432,649019392,85779493,154218602
2026-03-19T18:42:12.814553,1.8,33.7,64,931346432,649076736,85783567,154222676
2026-03-19T18:42:16.732987,0.8,33.7,64,931346432,649187328,85788060,154227169
2026-03-19T18:42:21.738664,1.5,33.7,64,931346432,649228288,85791865,154230974
2026-03-19T18:42:26.745357,1.2,33.7,64,931346432,649244672,85795279,154234388
2026-03-19T18:42:31.749852,1.3,33.7,64,931346432,649314304,85798868,154237977
2026-03-19T18:42:36.754248,1.3,33.7,64,931346432,649342976,85803492,154242601
2026-03-19T18:42:41.760017,1.2,33.7,64,931346432,649379840,85808145,154247254
2026-03-19T18:42:45.696134,1.8,33.8,64,931346432,649494528,85812516,154251625
